"Metric","Technology","Scenario","Optimal Value","Unit"
"Total cost","","1",199361207.24170,"US$"
"Cost of energy","","1",238.56277,"US$/MWh"
"Capacity","GasCC","1",0.00000,"MW"
"Capacity","Diesel","1",0.00000,"MW"
"Capacity","Solar PV","1",360.23522,"MW"
"Capacity","Wind","1",280.54050,"MW"
"Capacity","All generation","1",640.77572,"MW"
"Total generation","GasCC","1",0.00000,"MWh"
"Total generation","Diesel","1",0.00000,"MWh"
"Total generation","Solar PV","1",430352.47615,"MWh"
"Total generation","Wind","1",410273.16152,"MWh"
"Total generation","Other renewables","1",0.00000,"MWh"
"Total generation","Hydro","1",0.00000,"MWh"
"Total generation","Nuclear","1",0.00000,"MWh"
"Total generation","Li-Ion","1",104618.78942,"MWh"
"Total generation","Vanadium","1",0.00000,"MWh"
"Total generation","PHS","1",0.00000,"MWh"
"Total generation","H2","1",91871.43404,"MWh"
"Total generation","All technologies","1",1037115.86112,"MWh"
"Imports","Grid","1",151319.75269,"MWh"
"Exports","Grid","1",0.00000,"MWh"
"Storage energy charging","Li-Ion","1",123080.92872,"MWh"
"Storage energy charging","Vanadium","1",0.00000,"MWh"
"Storage energy charging","PHS","1",0.00000,"MWh"
"Storage energy charging","H2","1",229678.58509,"MWh"
"Storage energy charging","All storage","1",352759.51381,"MWh"
"Total demand","","1",835676.10000,"MWh"
"CAPEX","GasCC","1",0.00000,"US$"
"CAPEX","Diesel","1",0.00000,"US$"
"CAPEX","Solar PV","1",31374041.94152,"US$"
"CAPEX","Wind","1",29109717.60076,"US$"
"CAPEX","All generation","1",60483759.54229,"US$"
"Power Capex","Li-Ion","1",2763052.39569,"US$"
"Power Capex","Vanadium","1",0.00000,"US$"
"Power Capex","PHS","1",0.00000,"US$"
"Power Capex","H2","1",35325350.24735,"US$"
"Total Power Capex","All storage","1",38088402.64304,"US$"
"Energy Capex","Li-Ion","1",12215266.24231,"US$"
"Energy Capex","Vanadium","1",0.00000,"US$"
"Energy Capex","PHS","1",0.00000,"US$"
"Energy Capex","H2","1",22449421.40025,"US$"
"Total Energy Capex","All storage","1",34664687.64256,"US$"
"Total Capex","Li-Ion","1",14978318.63800,"US$"
"Total Capex","Vanadium","1",0.00000,"US$"
"Total Capex","PHS","1",0.00000,"US$"
"Total Capex","H2","1",57774771.64760,"US$"
"Total Capex","All storage","1",72753090.28560,"US$"
"FOM","GasCC","1",0.00000,"US$"
"FOM","Diesel","1",0.00000,"US$"
"FOM","Solar PV","1",6484233.96643,"US$"
"FOM","Wind","1",8219836.57555,"US$"
"FOM","Li-Ion","1",667927.14991,"US$"
"FOM","Vanadium","1",0.00000,"US$"
"FOM","PHS","1",0.00000,"US$"
"FOM","H2","1",6128348.56299,"US$"
"FOM","All technologies","1",21500346.25488,"US$"
"VOM","GasCC","1",0.00000,"US$"
"VOM","Diesel","1",0.00000,"US$"
"VOM","Li-Ion","1",0.00000,"US$"
"VOM","Vanadium","1",0.00000,"US$"
"VOM","PHS","1",0.00000,"US$"
"VOM","H2","1",0.00000,"US$"
"VOM","Grid Imports","1",38888557.54490,"US$"
"VOM","Grid Exports","1",0.00000,"US$"
"VOM","Demand Exports","1",5735453.61403,"US$"
"VOM","All technologies","1",44624011.15893,"US$"
"OPEX","GasCC","1",0.00000,"US$"
"OPEX","Diesel","1",0.00000,"US$"
"OPEX","Solar PV","1",6484233.96643,"US$"
"OPEX","Wind","1",8219836.57555,"US$"
"OPEX","Li-Ion","1",667927.14991,"US$"
"OPEX","Vanadium","1",0.00000,"US$"
"OPEX","PHS","1",0.00000,"US$"
"OPEX","H2","1",6128348.56299,"US$"
"OPEX","All technologies","1",66124357.41381,"US$"
"Average added storage cost","All storage","1",404.85152,"US$/MWh"
"Average storage cost","All storage","1",378554.13510,"US$/MW"
"Charge power capacity","Li-Ion","1",84.54774,"MW"
"Charge power capacity","Vanadium","1",0.00000,"MW"
"Charge power capacity","PHS","1",0.00000,"MW"
"Charge power capacity","H2","1",103.78452,"MW"
"Charge power capacity","All storage","1",188.33226,"MW"
"Discharge power capacity","Li-Ion","1",84.54774,"MW"
"Discharge power capacity","Vanadium","1",0.00000,"MW"
"Discharge power capacity","PHS","1",0.00000,"MW"
"Discharge power capacity","H2","1",147.40000,"MW"
"Discharge power capacity","All storage","1",231.94774,"MW"
"Average power capacity","Li-Ion","1",84.54774,"MW"
"Average power capacity","Vanadium","1",0.00000,"MW"
"Average power capacity","PHS","1",0.00000,"MW"
"Average power capacity","H2","1",125.59226,"MW"
"Average power capacity","All storage","1",210.14000,"MW"
"Energy capacity","Li-Ion","1",482.85595,"MWh"
"Energy capacity","Vanadium","1",0.00000,"MWh"
"Energy capacity","PHS","1",0.00000,"MWh"
"Energy capacity","H2","1",14821.55081,"MWh"
"Energy capacity","All storage","1",15304.40676,"MWh"
"Discharge duration","Li-Ion","1",5.26532,"h"
"Discharge duration","Vanadium","1",0.00000,"h"
"Discharge duration","PHS","1",0.00000,"h"
"Discharge duration","H2","1",63.59547,"h"
"Equivalent number of cycles","Li-Ion","1",216.66662,"-"
"Equivalent number of cycles","Vanadium","1",0.00000,"-"
"Equivalent number of cycles","PHS","1",0.00000,"-"
"Equivalent number of cycles","H2","1",6.19850,"-"
"Renewables footprint","Solar and Wind","1",11188.91868,"acres"
