"Metric","Technology","Scenario","Optimal Value","Unit"
"Total cost","","1",191293454.40687,"US$"
"Cost of energy","","1",228.90861,"US$/MWh"
"Capacity","GasCC","1",0.00000,"MW"
"Capacity","Diesel","1",0.00000,"MW"
"Capacity","Solar PV","1",352.43884,"MW"
"Capacity","Wind","1",292.42716,"MW"
"Capacity","All generation","1",644.86601,"MW"
"Total generation","GasCC","1",0.00000,"MWh"
"Total generation","Diesel","1",0.00000,"MWh"
"Total generation","Solar PV","1",432453.07425,"MWh"
"Total generation","Wind","1",439513.93668,"MWh"
"Total generation","Other renewables","1",0.00000,"MWh"
"Total generation","Hydro","1",0.00000,"MWh"
"Total generation","Nuclear","1",0.00000,"MWh"
"Total generation","Li-Ion","1",102938.37602,"MWh"
"Total generation","Vanadium","1",0.00000,"MWh"
"Total generation","PHS","1",0.00000,"MWh"
"Total generation","H2","1",103395.49635,"MWh"
"Total generation","All technologies","1",1078300.88330,"MWh"
"Imports","Grid","1",136967.92938,"MWh"
"Exports","Grid","1",0.00000,"MWh"
"Storage energy charging","Li-Ion","1",121103.97179,"MWh"
"Storage energy charging","Vanadium","1",0.00000,"MWh"
"Storage energy charging","PHS","1",0.00000,"MWh"
"Storage energy charging","H2","1",258488.74089,"MWh"
"Storage energy charging","All storage","1",379592.71267,"MWh"
"Total demand","","1",835676.10000,"MWh"
"CAPEX","GasCC","1",0.00000,"US$"
"CAPEX","Diesel","1",0.00000,"US$"
"CAPEX","Solar PV","1",30695030.35545,"US$"
"CAPEX","Wind","1",30343113.47731,"US$"
"CAPEX","All generation","1",61038143.83276,"US$"
"Power Capex","Li-Ion","1",2511177.62485,"US$"
"Power Capex","Vanadium","1",0.00000,"US$"
"Power Capex","PHS","1",0.00000,"US$"
"Power Capex","H2","1",37027248.39983,"US$"
"Total Power Capex","All storage","1",39538426.02468,"US$"
"Energy Capex","Li-Ion","1",12019061.55337,"US$"
"Energy Capex","Vanadium","1",0.00000,"US$"
"Energy Capex","PHS","1",0.00000,"US$"
"Energy Capex","H2","1",16591163.79169,"US$"
"Total Energy Capex","All storage","1",28610225.34506,"US$"
"Total Capex","Li-Ion","1",14530239.17821,"US$"
"Total Capex","Vanadium","1",0.00000,"US$"
"Total Capex","PHS","1",0.00000,"US$"
"Total Capex","H2","1",53618412.19152,"US$"
"Total Capex","All storage","1",68148651.36973,"US$"
"FOM","GasCC","1",0.00000,"US$"
"FOM","Diesel","1",0.00000,"US$"
"FOM","Solar PV","1",6343899.16359,"US$"
"FOM","Wind","1",8568115.89166,"US$"
"FOM","Li-Ion","1",607040.14028,"US$"
"FOM","Vanadium","1",0.00000,"US$"
"FOM","PHS","1",0.00000,"US$"
"FOM","H2","1",6423598.99998,"US$"
"FOM","All technologies","1",21942654.19551,"US$"
"VOM","GasCC","1",0.00000,"US$"
"VOM","Diesel","1",0.00000,"US$"
"VOM","Li-Ion","1",0.00000,"US$"
"VOM","Vanadium","1",0.00000,"US$"
"VOM","PHS","1",0.00000,"US$"
"VOM","H2","1",0.00000,"US$"
"VOM","Grid Imports","1",35151700.47647,"US$"
"VOM","Grid Exports","1",0.00000,"US$"
"VOM","Demand Exports","1",5012304.53240,"US$"
"VOM","All technologies","1",40164005.00887,"US$"
"OPEX","GasCC","1",0.00000,"US$"
"OPEX","Diesel","1",0.00000,"US$"
"OPEX","Solar PV","1",6343899.16359,"US$"
"OPEX","Wind","1",8568115.89166,"US$"
"OPEX","Li-Ion","1",607040.14028,"US$"
"OPEX","Vanadium","1",0.00000,"US$"
"OPEX","PHS","1",0.00000,"US$"
"OPEX","H2","1",6423598.99998,"US$"
"OPEX","All technologies","1",62106659.20438,"US$"
"Average added storage cost","All storage","1",364.35748,"US$/MWh"
"Average storage cost","All storage","1",354105.87429,"US$/MW"
"Charge power capacity","Li-Ion","1",76.84052,"MW"
"Charge power capacity","Vanadium","1",0.00000,"MW"
"Charge power capacity","PHS","1",0.00000,"MW"
"Charge power capacity","H2","1",123.53371,"MW"
"Charge power capacity","All storage","1",200.37424,"MW"
"Discharge power capacity","Li-Ion","1",76.84052,"MW"
"Discharge power capacity","Vanadium","1",0.00000,"MW"
"Discharge power capacity","PHS","1",0.00000,"MW"
"Discharge power capacity","H2","1",147.40000,"MW"
"Discharge power capacity","All storage","1",224.24052,"MW"
"Average power capacity","Li-Ion","1",76.84052,"MW"
"Average power capacity","Vanadium","1",0.00000,"MW"
"Average power capacity","PHS","1",0.00000,"MW"
"Average power capacity","H2","1",135.46686,"MW"
"Average power capacity","All storage","1",212.30738,"MW"
"Energy capacity","Li-Ion","1",475.10020,"MWh"
"Energy capacity","Vanadium","1",0.00000,"MWh"
"Energy capacity","PHS","1",0.00000,"MWh"
"Energy capacity","H2","1",10953.81359,"MWh"
"Energy capacity","All storage","1",11428.91378,"MWh"
"Discharge duration","Li-Ion","1",5.70039,"h"
"Discharge duration","Vanadium","1",0.00000,"h"
"Discharge duration","PHS","1",0.00000,"h"
"Discharge duration","H2","1",47.00000,"h"
"Equivalent number of cycles","Li-Ion","1",216.66662,"-"
"Equivalent number of cycles","Vanadium","1",0.00000,"-"
"Equivalent number of cycles","PHS","1",0.00000,"-"
"Equivalent number of cycles","H2","1",9.43922,"-"
"Renewables footprint","Solar and Wind","1",11530.40616,"acres"
